sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10
0,0,60001,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1018,0
0,0,0,0,0,0,0,0,498,0
0,0,0,0,24482,0,0,0,0,0
0,12478,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,290
0,0,0,0,144,0,0,0,0,0
0,0,0,0,60001,0,0,0,0,0
0,4762,0,0,0,0,0,0,0,0
0,0,0,0,60001,0,0,0,590,0
0,0,0,0,8640,4448,0,0,0,0
0,0,0,0,1792,0,0,0,0,0
0,0,0,0,60001,0,0,0,428,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,60001,0,0,0,924,0
0,0,60001,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1528,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,60001,0,0,0,0,0
0,0,0,0,60001,0,0,0,0,3724
0,0,0,0,0,0,0,0,6724,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1484,0
0,0,0,0,35809,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,22257,0,0,0,0,0
0,0,60001,0,0,0,0,0,60001,0
0,0,60001,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,56807,0,0,0,152,0
0,2748,0,0,0,0,0,0,0,0
0,0,0,0,12617,0,0,0,0,0
0,0,0,0,0,0,0,0,5998,0
0,60001,0,0,0,0,0,60001,0,0
0,0,0,0,0,0,0,0,6594,0
0,0,0,0,0,0,0,0,0,0
0,0,60001,0,0,0,0,0,0,0
0,0,0,0,60001,0,0,0,0,0
0,60001,0,0,0,0,0,60001,0,0
0,0,0,0,0,0,0,0,144,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,60001
0,60001,0,0,0,0,0,0,0,0
0,0,60001,0,0,0,0,0,0,0
0,0,0,0,60001,144,0,0,234,0
0,0,60001,0,60001,0,0,0,38044,0
0,0,0,0,0,0,0,0,3754,0
0,0,0,0,10135,753,0,0,0,0
0,0,0,0,0,0,0,0,288,0
0,0,0,0,60001,0,0,0,206,0
0,60001,0,0,0,0,0,0,0,0
0,60001,0,0,0,0,0,0,0,0
0,60001,0,0,0,0,0,60001,0,0
0,0,0,0,0,0,0,0,1196,0
0,60001,0,0,0,0,0,60001,0,0
0,0,0,0,0,0,0,0,3734,0
0,60001,0,0,0,0,0,60001,0,0
0,0,0,0,434,0,0,0,0,0
0,0,0,0,0,0,0,0,864,0
0,60001,0,0,0,0,0,60001,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,60001,0,0,0,1456,0
0,0,0,0,0,0,0,0,1772,0
0,0,0,0,0,0,0,0,0,0
