sensor_1_sum,sensor_2_sum,sensor_3_sum,sensor_4_sum,sensor_5_sum,sensor_6_sum,sensor_7_sum,sensor_8_sum,sensor_9_sum,sensor_10_sum,sensor_1_mean,sensor_3_mean,sensor_4_mean,sensor_5_mean,sensor_6_mean,sensor_7_mean,sensor_9_mean,sensor_10_mean,sensor_1_std,sensor_3_std,sensor_4_std,sensor_5_std,sensor_6_std,sensor_7_std,sensor_9_std,sensor_10_std,sensor_1_min,sensor_3_min,sensor_4_min,sensor_5_min,sensor_6_min,sensor_7_min,sensor_9_min,sensor_10_min,sensor_1_max,sensor_3_max,sensor_4_max,sensor_5_max,sensor_6_max,sensor_7_max,sensor_9_max,sensor_10_max,sensor_8_mean,sensor_8_std,sensor_8_min,sensor_8_max,sensor_2_mean,sensor_2_std,sensor_2_min,sensor_2_max
-163925.0,0.0,66308.0,62017.0,-5385.0,1071254.0,-762124.0,0.0,-109131.0,-141185.0,-2.7320377993700107,1.1051149147514208,1.0335994400093331,-0.0897485041915968,17.853935767737205,-12.701854969083849,-1.818819686338561,-2.353044115931401,406.2654393313099,291.90108279005045,382.47208373648067,248.38827970552825,913.2254735267834,475.0203943952221,374.48638496365504,722.3799542076928,-2215.0,-1785.0,-4484.0,-4602.0,-3125.0,-1809.0,-3320.0,-5343.0,2185.0,1713.0,3535.0,3501.0,3537.0,1943.0,3884.0,4912.0,,,,,,,,
-73225.0,0.0,-476535.0,112679.0,-14596.0,-1028216.0,0.0,153763.0,166523.0,-176940.0,-1.220396326727888,-7.942117631372811,1.8779520341327645,-7.044401544401544,-17.13664772253796,,3.0054505748371145,-2.948950850819153,447.3405698771161,345.12432320287456,520.7482884792284,210.3581525616126,1558.417372478809,,353.55202166665777,802.5028333764774,-2736.0,-1370.0,-2044.0,-1222.0,-6629.0,,-1535.0,-3852.0,2414.0,1320.0,2425.0,641.0,6790.0,,1373.0,4026.0,2.562673955434076,759.1086287719805,-4284.0,6339.0,,,,
130732.0,0.0,49917.0,-158073.0,-66130.0,-410061.0,-226781.0,0.0,168796.0,-14945.0,2.178830352827453,0.83193613439776,-2.6345060915651404,-1.1021482975283745,-6.834236096065066,-3.7796203396610055,2.8132197796703386,-0.2490791820136331,376.7411206463114,296.0049976279674,354.8527055628994,205.96703550702333,956.4462270414737,572.9732578244781,336.82956159245856,703.5432617651836,-1784.0,-2234.0,-1920.0,-1948.0,-4320.0,-3461.0,-2173.0,-4355.0,1897.0,1836.0,2187.0,1751.0,3755.0,3340.0,2182.0,4374.0,,,,,,,,
82101.0,0.0,-85083.0,192849.0,-3349.0,257943.0,111822.0,0.0,-104295.0,608691.0,1.3683271945467577,-1.4180263662272294,3.214096431726138,-0.05581573640439326,4.298978350360827,1.8636689388510193,-1.7382210296495058,10.144680921984634,346.6061269887623,307.86371451944666,379.6607651952209,205.95809226122918,917.4791680979953,631.9966989999753,350.16244771148035,708.8620158750327,-1889.0,-1938.0,-2612.0,-1991.0,-3288.0,-3185.0,-2403.0,-4473.0,1663.0,1928.0,1854.0,1799.0,3907.0,3013.0,2605.0,3692.0,,,,,,,,
45215.0,-62508.0,-20755.0,2407.0,-9767.0,-73191.0,-3173.0,44620.0,-32928.0,35815.0,0.7535707738204364,-0.3459109014849753,0.04011599806669889,-0.16278062032299462,-1.2198296695055082,-0.05288245195913401,-0.5487908534857753,0.596906718221363,109.9736259516694,103.97433654667222,124.80179715858748,100.50175132153018,203.527679626411,136.90236832648174,129.43050576884727,231.92001691624517,-814.0,-689.0,-1179.0,-1981.0,-1068.0,-881.0,-1171.0,-2017.0,687.0,620.0,1162.0,1942.0,992.0,691.0,1246.0,2288.0,0.7436542724287929,157.80945494204735,-731.0,740.0,-1.0417826369560508,394.1654897850844,-5766.0,5967.0
44184.0,-77112.0,11478.0,86957.0,-29709.0,-160905.0,-89365.0,2758.0,-4722.0,45561.0,0.7363877268712188,0.19129681171980467,1.449259179013683,-0.4951417476375394,-2.681705304911585,-1.4893918434692754,-0.07869868835519409,0.7593373443775937,115.11666006307658,110.69280451586086,130.65267976391775,118.36048375153335,285.99403237386827,250.67994499952553,144.51446884797807,253.88631244552658,-552.0,-506.0,-756.0,-2390.0,-1230.0,-3146.0,-880.0,-1949.0,654.0,651.0,1061.0,2098.0,1281.0,3797.0,1094.0,2073.0,0.045965900568323864,289.68880323622125,-3732.0,4323.0,-1.285178580356994,415.51506978907736,-4428.0,4468.0
17428.0,15410.0,-68387.0,-11926.0,-43093.0,-84788.0,104709.0,-49828.0,60127.0,50860.0,0.2904618256362394,-1.1397643372610458,-0.19876335394410094,-0.7182046965883901,-1.4131097815036415,1.7451209146514224,1.0020999650005833,0.8476525391243479,110.03642335088433,103.60335949638792,138.81720567880149,193.89704206979752,178.9500613415116,124.35559477657527,141.74921632560583,281.07736207883704,-758.0,-780.0,-1094.0,-2630.0,-709.0,-421.0,-1147.0,-3170.0,587.0,695.0,1318.0,2672.0,681.0,502.0,1129.0,2353.0,-0.8304528257862369,174.6594928327972,-2496.0,3117.0,0.25682905284911917,510.0564738056675,-7396.0,5666.0
-272627.0,-570817.0,44789.0,606637.0,-3957.0,-314630.0,-637826.0,652147.0,23517.0,491573.0,-4.543707604873252,0.7464708921517975,10.110448159197347,-6.869791666666667,-5.243745937567708,-10.630256162397293,0.39194346760887316,8.19274678755354,505.07657283536076,421.8277174652232,534.1852519033082,240.1257179221099,1377.5479490034438,829.1542389711836,438.1922911931373,962.3039726950748,-2293.0,-1840.0,-3505.0,-853.0,-6158.0,-4342.0,-2490.0,-5081.0,1918.0,2091.0,2235.0,662.0,6690.0,3899.0,2380.0,4665.0,10.86893551774137,1092.3017001215744,-4340.0,4046.0,-9.513458109031516,1349.9704209931328,-14155.0,13895.0
189261.0,0.0,-173875.0,39330.0,35231.0,-137848.0,-88080.0,313694.0,-60625.0,-43382.0,3.1542974283761938,-2.897868368860519,0.6554890751820803,0.5871735471075482,-2.29742837619373,-1.4679755337411042,-1.0103998266695555,-0.723021282978617,257.2797810268816,233.8689447866534,312.1659411171851,237.25168458442192,373.4270173249654,269.24994864484154,321.91028314088044,631.1206649800378,-1186.0,-1262.0,-1534.0,-1216.0,-1306.0,-1031.0,-1938.0,-2990.0,1422.0,1512.0,2107.0,1266.0,1415.0,1300.0,2368.0,3083.0,5.228146197563374,459.2635550513942,-1997.0,1851.0,,,,
-106559.0,-65488.0,5689.0,125806.0,-80028.0,305167.0,74756.0,1059885.0,67270.0,133457.0,-1.7759537341044316,0.09481508641522642,2.096731721137981,-1.3337777703704938,5.086031899468342,1.2459125681238645,1.1211479808669855,2.2242462625622905,368.6937131989562,382.0281366076975,348.92306990149683,195.48962293143987,735.3241681270392,700.9123091913859,334.73985183460826,735.9793436612939,-1771.0,-1931.0,-1424.0,-2048.0,-2969.0,-3261.0,-1841.0,-4274.0,1655.0,1647.0,1681.0,1694.0,3017.0,3490.0,1755.0,4633.0,17.664455592406792,624.7023334821746,-2518.0,3233.0,-1.0914484758587357,463.4998815034407,-3849.0,5063.0
